@relation encuesta

@attribute Area {a1,a2,a3}
@attribute Categoria {c1,c2,c3,c4,c5}
@attribute Ult_grado {g1,g2,g7,g8}
@attribute Esc_med_gral {c1,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c25,c26,c27,c28,c29,c30,c31,c32,c33,c39,c40,c41,c42,c43,c44}
@attribute Esc_esp {c1,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c25,c26,c27,c28,c29,c30,c31,c32,c33,c39,c40,c41,c42,c43,c44}
@attribute Anios_prac {3e,3c,3a,3d,3b}
@attribute Casos {4a,4c,4e,4b,4d}
@attribute Hall_disc {7c,7a,7d,7e,7b}
@attribute Hall_arb {8b,8c,8a,8e,8d}
@attribute Hall_dem {11a,11b,11c,11d,11e,11z}
@attribute Mcc_aut {14a,14b,14c,14d,14e,14f,14g,14h,14i,14z}
@attribute Mcc_no_aut {16a,16b,16c,16d,16e,16f,16g,16h,16i,16j,16k,16l,16m,16n,16ñ,16o,16p,16q,16r,16s,16t,16u,16z}
@attribute Fmr_sol_aut {21a,21b,21c,21d,21e,21f,21j}
@attribute Med_aut {20a,20b,20c,20d,20e,20f,20g,20h,20i,20j}
@attribute Per_sol_aut {19a,19b,19c,19d,19e,19f}
@attribute No_hosp {18a,18b,18c,18d,18e,18f,18g,18h}
@attribute Rechazo_fam {17a,17b,17c,17d,17e,17f,17g}
@inputs Area,Categoria, Ult_grado, Esc_med_gral, Esc_esp, Anios_prac, Casos, Hall_disc, Hall_arb, Hall_dem, Mcc_aut, Mcc_no_aut, Fmr_sol_aut, Med_aut, Per_sol_aut, No_hosp
@outputs Rechazo_fam
@data
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21d,20j,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21f,20j,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21a,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21b,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21c,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21d,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21f,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21a,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21b,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21c,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21d,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21f,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21a,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21b,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21c,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21d,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21f,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21a,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21b,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21c,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21d,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21f,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21a,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21b,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21c,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21d,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21f,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21a,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21b,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21c,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21d,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14a,16r,21f,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18d,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18f,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20a,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20f,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21a,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21b,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21c,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21d,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16e,21f,20j,19a,18g,17f
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20a,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20f,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20j,19a,18d,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20a,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20f,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20j,19a,18f,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20a,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20f,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20j,19a,18g,17a
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20a,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20f,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20j,19a,18d,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20a,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20f,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20j,19a,18f,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20a,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20f,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21a,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21b,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21c,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21d,20j,19a,18g,17d
a3,c4,g1,c1,c20,3e,4d,7a,8c,11d,14c,16q,21f,20j,19a,18g,17d
